firstname,firstname_length,proba_man,proba_female,total
marielle,8,0.0,100.0,16799.0
matthias,8,100.0,0.0,15376.0
constant,8,99.75,0.25,15102.0
sylvette,8,0.0,100.0,14877.0
angeline,8,0.0,100.0,14735.0
theodore,8,98.43,1.57,14245.0
lauriane,8,0.0,100.0,13908.0
hortense,8,0.69,99.31,13415.0
wilfried,8,100.0,0.0,12936.0
celestin,8,100.0,0.0,12758.0
adelaide,8,2.17,97.83,12372.0
ghislain,8,100.0,0.0,12243.0
marilyne,8,0.0,100.0,11475.0
cyrielle,8,0.0,100.0,11442.0
giovanni,8,100.0,0.0,11385.0
berenice,8,0.0,100.0,11186.0
mariette,8,0.0,100.0,10787.0
mohammed,8,100.0,0.0,10421.0
claudius,8,100.0,0.0,9992.0
mustapha,8,100.0,0.0,9321.0
sylvaine,8,0.0,100.0,9297.0
geoffroy,8,98.65,1.35,8942.0
coraline,8,0.0,100.0,8932.0
manuella,8,0.0,100.0,8448.0
violaine,8,0.0,100.0,8169.0
honorine,8,0.32,99.68,8100.0
aristide,8,97.49,2.51,8089.0
rodrigue,8,100.0,0.0,7993.0
laurette,8,0.0,100.0,7802.0
ambroise,8,97.47,2.53,7753.0
lou anne,8,0.0,100.0,7557.0
felicien,8,99.61,0.39,7367.0
guylaine,8,0.0,100.0,7316.0
muguette,8,0.0,100.0,6831.0
sullivan,8,100.0,0.0,6445.0
mathurin,8,98.74,1.26,5967.0
abdallah,8,100.0,0.0,5868.0
josselin,8,100.0,0.0,5636.0
annaelle,8,0.0,100.0,5604.0
rachelle,8,0.0,100.0,5503.0
bertille,8,0.37,99.63,5337.0
segolene,8,0.0,100.0,5322.0
zacharie,8,96.3,3.7,5157.0
kathleen,8,0.0,100.0,5130.0
gislaine,8,0.0,100.0,5026.0
penelope,8,0.0,100.0,4897.0
typhaine,8,0.49,99.51,4879.0
gertrude,8,1.02,98.98,4821.0
fernando,8,100.0,0.0,4730.0
tiphanie,8,0.0,100.0,4520.0
mercedes,8,0.0,100.0,4488.0
lorraine,8,0.0,100.0,4336.0
josianne,8,0.0,100.0,4250.0
chrystel,8,0.86,99.14,4210.0
clotaire,8,96.63,3.37,4208.0
felicite,8,4.38,95.62,4137.0
chantale,8,0.0,100.0,4001.0
narcisse,8,91.78,8.22,3869.0
loetitia,8,0.0,100.0,3850.0
mathilda,8,0.0,100.0,3848.0
marcelin,8,100.0,0.0,3793.0
madeline,8,0.0,100.0,3790.0
georgina,8,0.0,100.0,3700.0
donatien,8,99.43,0.57,3674.0
ombeline,8,0.0,100.0,3622.0
soufiane,8,100.0,0.0,3558.0
